날짜,도로명,평균속도예측
2023-09-01,고덕로62길,15.340760283083362
2023-10-01,고덕로62길,15.330586896973319
2023-11-01,고덕로62길,15.32007439910306
2023-12-01,고덕로62길,15.371027110818146
2024-01-01,고덕로62길,15.423792067659397
2024-02-01,고덕로62길,15.476134293377527
2024-03-01,고덕로62길,15.52509960130739
2024-04-01,고덕로62길,15.57744182702552
2024-04-30,고덕로62길,15.626407134955384
2024-05-31,고덕로62길,15.678749360673516
2024-06-30,고덕로62길,15.729403127497509
2024-07-31,고덕로62길,15.78174535321564
2024-08-31,고덕로62길,15.834087578933769
2024-09-30,고덕로62길,15.884741345757767
2023-06-01,고덕로79길,13.458071639999998
2023-07-01,고덕로79길,13.321870029639342
2023-08-01,고덕로79길,13.181128367531986
2023-09-01,고덕로79길,13.04038671073564
2023-10-01,고덕로79길,12.904185114162715
2023-11-01,고덕로79길,12.763443465601389
2023-12-01,고덕로79길,12.62724187010792
2024-01-01,고덕로79길,12.711757347585433
2024-02-01,고덕로79길,12.796274123295007
2024-03-01,고덕로79길,12.87533820379751
2024-04-01,고덕로79길,12.959854979507082
2024-04-30,고덕로79길,13.038919060009585
2024-05-31,고덕로79길,13.123435835719157
2024-06-30,고덕로79길,13.205226263825194
2024-07-31,고덕로79길,13.289743039534768
2024-08-31,고덕로79길,13.374259815244342
2024-09-30,고덕로79길,13.456050243350377
2023-06-01,고덕로80길,19.917680900999997
2023-07-01,고덕로80길,19.892214684698356
2023-08-01,고덕로80길,19.86581749589772
2023-09-01,고덕로80길,19.80004773618069
2023-10-01,고덕로80길,19.736399570091315
2023-11-01,고덕로80길,19.670629815529594
2023-12-01,고덕로80길,19.607849395659375
2024-01-01,고덕로80길,19.66847961293829
2024-02-01,고덕로80길,19.729257578798126
2024-03-01,고덕로80길,19.78611438557023
2024-04-01,고덕로80길,19.846892351430064
2024-04-30,고덕로80길,19.903749158202164
2024-05-31,고덕로80길,19.964527124062
2024-06-30,고덕로80길,20.023344510377967
2024-07-31,고덕로80길,20.084122476237802
2024-08-31,고덕로80길,20.144900442097637
2024-09-30,고덕로80길,20.203717828413605
2023-06-01,고산자로,22.839932185714286
2023-07-01,고산자로,22.876487209169895
2023-08-01,고산자로,22.914260733496373
2023-09-01,고산자로,22.952034258348995
2023-10-01,고산자로,22.98858928236937
2023-11-01,고산자로,23.02636280650327
2023-12-01,고산자로,23.062917830498638
2024-01-01,고산자로,23.10069135616875
2024-02-01,고산자로,23.13846488136269
2024-03-01,고산자로,23.173801404967005
2024-04-01,고산자로,23.211574930199202
2024-04-30,고산자로,23.246911453803516
2024-05-31,고산자로,23.284684979035717
2024-06-30,고산자로,23.321240003453976
2024-07-31,고산자로,23.359013528686177
2024-08-31,고산자로,23.396787053918374
2024-09-30,고산자로,23.43334207833663
2023-06-01,고척로,16.178700696
2023-07-01,고척로,16.11976974306885
2023-08-01,고척로,16.058874424562767
2023-09-01,고척로,15.997979106521209
2023-10-01,고척로,16.00760814147285
2023-11-01,고척로,16.018428741001397
2023-12-01,고척로,16.164757094715856
2024-01-01,고척로,16.315963059919216
2024-02-01,고척로,16.365546289664213
2024-03-01,고척로,16.411930601361146
2024-04-01,고척로,16.461513831106142
2024-04-30,고척로,16.50789814280307
2024-05-31,고척로,16.557481372548068
2024-06-30,고척로,16.605465143269033
2024-07-31,고척로,16.65504837301403
2024-08-31,고척로,16.704631602759026
2024-09-30,고척로,16.752615373479994
2023-06-01,곰달래로,15.208150880000002
2023-07-01,곰달래로,15.254358018563078
2023-08-01,곰달래로,15.302105395441172
2023-09-01,곰달래로,15.34985277474956
2023-10-01,곰달래로,15.396059917414716
2023-11-01,곰달래로,15.443807303060948
2023-12-01,곰달래로,15.490014446377202
2024-01-01,곰달래로,15.5377618241676
2024-02-01,곰달래로,15.58550920449031
2024-03-01,곰달래로,15.630176107635892
2024-04-01,곰달래로,15.677923486860477
2024-04-30,곰달래로,15.72259039000606
2024-05-31,곰달래로,15.770337769230647
2024-06-30,곰달래로,15.816544910415733
2024-07-31,곰달래로,15.864292289640321
2024-08-31,곰달래로,15.912039668864908
2024-09-30,곰달래로,15.958246810049992
2023-06-01,공릉로,17.043214099199997
2023-07-01,공릉로,17.025744697425594
2023-08-01,공릉로,17.007692983642347
2023-09-01,공릉로,16.98964125876658
2023-10-01,공릉로,16.972171835095317
2023-11-01,공릉로,16.954120124996987
2023-12-01,공릉로,16.936650778189147
2024-01-01,공릉로,16.918599120810168
2024-02-01,공릉로,16.900547542257446
2024-03-01,공릉로,16.883660580574926
2024-04-01,공릉로,16.865609000845335
2024-04-30,공릉로,16.848722039162812
2024-05-31,공릉로,16.83067045943322
2024-06-30,공릉로,16.813201188727167
2024-07-31,공릉로,16.795149608997576
2024-08-31,공릉로,16.777098029267986
2024-09-30,공릉로,16.75962875856193
2023-06-01,공원로,25.424493880888885
2023-07-01,공원로,25.411638151745716
2023-08-01,공원로,25.398353898126786
2023-09-01,공원로,25.38506964493627
2023-10-01,공원로,25.37213048085857
2023-11-01,공원로,25.14907863829114
2023-12-01,공원로,24.933222016666
2024-01-01,공원로,24.71041802228452
