지역명,도로명,차선,도로등급,도로유형,최고속도,링크연장,업데이트
강남구,테헤란로,4,104,0,50,203.049231616499,20230519
노원구,상계로,2,104,0,60,72.627650628547,20230519
강북구,덕릉로,4,104,0,50,71.544329067519,20230519
강동구,동남로,3,104,0,50,329.360868923259,20230519
강남구,영동대로86길,1,104,0,30,155.905037690187,20230519
송파구,거마로,3,104,0,50,60.831690205431,20230519
강동구,양재대로111길,1,104,0,60,183.835379511565,20230519
노원구,동일로243길,2,103,0,60,75.844569761989,20230519
송파구,양산로4길,1,104,0,30,179.508992155852,20230519
강동구,아리수로94길,2,104,0,30,232.11667786554,20230519
서대문구,홍제천로,2,104,0,30,500.617060533653,20230519
강남구,영동대로3길,1,104,0,30,150.852877320337,20230519
양천구,목동동로16길,1,104,0,30,384.510277085766,20230519
양천구,목동동로,2,104,0,30,175.082403177399,20230519
양천구,가로공원로,2,104,0,30,74.52024126,20230519
강남구,선릉로,2,104,0,50,438.600582649484,20230519
노원구,마들로5길,1,107,0,30,457.125494413121,20230519
노원구,동일로227길,1,104,0,40,25.801392127168,20230519
성북구,화랑로5길,1,104,0,50,31.922438620048,20230519
강동구,풍성로,1,104,0,40,257.845932487167,20230519
종로구,율곡로,3,104,0,50,101.628399501864,20230519
강서구,금낭화로,2,104,0,50,184.493559519655,20230519
노원구,공릉로62길,1,104,0,30,150.174920567261,20230519
용산구,원효로,3,104,0,50,134.747108462642,20230519
동대문구,정릉천동로,1,104,0,60,145.486231417462,20230519
노원구,동일로216길,1,104,0,30,338.45865462976,20230519
강서구,마곡중앙로,1,104,0,30,110.744913235646,20230519
강서구,공항대로,3,103,0,50,289.876707823379,20230519
중랑구,용마산로,2,104,0,50,170.050268130533,20230519
영등포구,영등포로,3,104,0,50,424.380189722198,20230519
강서구,방화대로8길,2,104,0,30,142.094233909506,20230519
강서구,강서농산물도매시장내부길,2,104,0,30,203.13574426081,20230519
동작구,매봉로,1,104,0,30,151.531882417086,20230519
서초구,동작대로,4,104,0,50,103.761521620363,20230519
마포구,삼개로,1,104,0,30,502.172922673669,20230519
양천구,중앙로29길,1,107,0,30,68.100396457997,20230519
동작구,대림로,2,104,0,40,224.712037261467,20230519
은평구,불광로2길,1,104,0,30,773.343343058897,20230519
양천구,곰달래로,1,104,0,30,204.850913017085,20230519
양천구,도림천로,1,104,0,50,141.824198734708,20230519
종로구,북촌로5길,1,104,0,30,209.795532497498,20230519
종로구,자하문로30길,1,104,0,30,136.040176183491,20230519
노원구,노원로1나길,1,104,0,10,183.060848058479,20230519
동작구,사당로,2,104,0,50,379.941177040603,20230519
성북구,안암로,3,104,0,60,165.449253916696,20230519
동대문구,사가정로,3,104,0,50,53.036297928728,20230519
동대문구,답십리로41길,1,104,0,30,251.480211671418,20230519
구로구,오류로,1,104,0,30,44.85354847901,20230519
금천구,가산로9길,1,104,0,30,113.40234383256,20230519
성북구,길음로,1,104,0,30,95.713555426408,20230519
성북구,길음로15길,1,104,0,30,158.148473776913,20230519
용산구,강변북로,4,102,0,80,359.094021854096,20230519
성북구,오패산로16길,2,104,0,30,87.702729103791,20230519
강남구,언주로,2,104,2,80,349.750619061298,20230519
강동구,양재대로88길,1,104,0,30,203.439446187549,20230519
마포구,신촌로,4,103,0,50,59.926669739858,20230519
동대문구,답십리로65길,1,104,0,10,78.97091626759,20230519
영등포구,버드나루로3길,1,104,0,10,193.203341492549,20230519
강서구,마곡서로,1,104,0,30,93.07493306242,20230519
광진구,강변북로,1,102,1,60,848.841944186818,20230519
노원구,덕릉로,2,104,0,60,116.420160917006,20230519
양천구,안양천로,1,104,0,60,208.140550672358,20230519
강북구,한천로131길,1,104,0,30,89.905070395157,20230519
성북구,보국문로,1,104,0,50,172.782555634519,20230519
서초구,신반포로33길,1,104,0,30,313.104562345205,20230519
동대문구,고산자로29길,1,104,0,60,90.779623806761,20230519
구로구,구일로,2,104,0,50,176.092883352768,20230519
강서구,강서로,3,104,0,50,57.57043975148,20230519
서대문구,가재울로,1,104,0,40,115.934572673841,20230519
도봉구,해등로32길,1,104,0,10,359.546141816914,20230519
은평구,증산로,3,103,0,50,315.00365765142,20230519
성동구,난계로,2,104,0,40,178.614639388919,20230519
동대문구,장안벚꽃로,2,104,0,50,440.932099414335,20230519
영등포구,선유로,2,104,0,30,90.696600449547,20230519
중구,율곡로,3,104,3,50,35.069795980937,20230519
성북구,솔샘로,1,104,0,30,261.57892261309,20230519
성북구,솔샘로,1,104,0,30,258.778395433726,20230519
종로구,율곡로,3,104,0,50,433.202590043996,20230519
금천구,남부순환로108길,1,104,0,30,205.02729406615,20230519
서초구,태봉로,2,104,0,50,85.782133184605,20230519
강서구,공항대로,4,103,0,50,33.021203986841,20230519
종로구,사직로,3,103,0,50,139.389678793161,20230519
강남구,선릉로120길,2,104,0,30,175.301139991044,20230519
중구,을지로,3,104,0,50,89.280189911157,20230519
강서구,화곡로,2,104,0,50,215.916084923479,20230519
강서구,공항대로,4,103,0,50,79.190502915841,20230519
성동구,아차산로7길,1,104,0,30,191.588250051944,20230519
구로구,디지털로,3,104,0,50,325.934428023015,20230519
강동구,구천면로,1,104,0,30,288.425001426155,20230519
강남구,영동대로,4,103,0,60,232.03358607473,20230519
양천구,목동동로2길.인접길,1,104,0,30,123.768732680667,20230519
